,Unnamed: 0,Name,Participant,Music_Imp,Dance_Imp,Baile_Level,Guitarra_Level,Step,Imp_subj,Imp_avg,Flow_subj,Flow_avg,CTW,LZ,Assigned_Cat,Rounds,Q1a,Q1b,Q2a,Q2b,Q2c,Q2d,Q2e,Q2f,Q2g,Q2h,Q2i,Q2j,Q3a,Q3b,Q4a,Q4b,Abs_Av,Perf_Av,SFS,Dance_mode,Music_mode,Palo,LZ_Av,CTW_Av,MIR_entropy,MIR_entropy_avg,MIR_rms,MIR_rms_avg,MIR_novelty,MIR_novelty_avg,var_entropy,var_entropy_avg,Condition,Condition_order,frac_annot
0,0,P3_D5_G1_M5_R1_T1,P3,MI,DI,Z1,A3,2.17,4.963954539530775,4.805555555555555,5.388311915108567,5.131578947368421,0.0057562962289789,0.0090644282338878,IMP1,4.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,0.3705729818447658,0.6466966525565548,0.7246247009487782,0.002216732199412,0.0085529287122228,0.3662654794988703,0.3155787177192854,48.9797123893502,51.72740431925767,D5_M5,3.0,0.028985507246376812
1,1,P3_D5_G1_M5_R1_T1,P3,MI,DI,Z1,A3,2.18,3.024190056960853,4.805555555555555,6.307821744848391,5.131578947368421,0.0141113851539288,0.015688433481729,IMP1,4.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,0.3705729818447658,0.6599615338511596,0.7246247009487782,0.0027417789039382,0.0085529287122228,0.4243225926021898,0.3155787177192854,49.467762638420126,51.72740431925767,D5_M5,3.0,0.028985507246376812
2,2,P3_D5_G1_M5_R1_T1,P3,MI,DI,Z2,A2,2.19,5.803653888474462,4.805555555555555,6.924542510133432,5.131578947368421,0.216309317514378,0.1453794835973558,IMP2,6.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,0.3705729818447658,0.742963469425356,0.7246247009487782,0.0080345361012805,0.0085529287122228,0.2546233604112836,0.3155787177192854,53.44543505716055,51.72740431925767,D5_M5,3.0,0.043478260869565216
3,3,P3_D5_G1_M5_R1_T1,P3,MI,DI,Z3,A2,2.2,4.6175466157550655,4.805555555555555,4.909568837514199,5.131578947368421,0.1786692152179755,0.0998830265003416,IMP1,4.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,0.3705729818447658,0.7468730353702484,0.7246247009487782,0.0069075945193081,0.0085529287122228,0.2312717476512367,0.3155787177192854,52.51571103123044,51.72740431925767,D5_M5,3.0,0.028985507246376812
4,4,P3_D5_G1_M5_R1_T1,P3,MI,DI,Z3,A2,2.21,4.165362942721483,4.805555555555555,4.489836237569045,5.131578947368421,0.5438401859833051,0.4031927404804366,IMP1,4.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,0.3705729818447658,0.7704539990303775,0.7246247009487782,0.014552690265468,0.0085529287122228,0.2385698451648538,0.3155787177192854,54.604101518345445,51.72740431925767,D5_M5,3.0,0.028985507246376812
5,5,P3_D5_G1_M5_R1_T1,P3,MI,DI,Z3,A1,2.22,6.48543237716315,4.805555555555555,4.528056489956838,5.131578947368421,0.5746643932645643,0.4011009493495394,IMP2,4.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,0.3705729818447658,0.7874985079664211,0.7246247009487782,0.0195648282221141,0.0085529287122228,0.2423912951461868,0.3155787177192854,54.37847367467687,51.72740431925767,D5_M5,3.0,0.028985507246376812
6,6,P3_D5_G1_M5_R1_T1,P3,MI,DI,Z2,A2,2.23,5.123596922842141,4.805555555555555,6.340369533955725,5.131578947368421,0.0299806053921515,0.0292850758325608,IMP2,4.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,0.3705729818447658,0.7039042713253335,0.7246247009487782,0.0059994801012634,0.0085529287122228,0.4447179885126994,0.3155787177192854,50.74398539192308,51.72740431925767,D5_M5,3.0,0.028985507246376812
7,7,P3_D5_G1_M5_R1_T1,P3,MI,DI,Z1,A3,2.24,4.932387190622164,4.805555555555555,6.680120454742282,5.131578947368421,0.0004299302129161,0.0041835822617944,IMP1,4.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,0.3705729818447658,0.7067443220935201,0.7246247009487782,0.0028207050084762,0.0085529287122228,0.2627932169945081,0.3155787177192854,48.97276612033588,51.72740431925767,D5_M5,3.0,0.028985507246376812
8,8,P3_D5_G1_M5_R1_T1,P3,MI,DI,Z1,A3,2.25,6.472654593590484,4.805555555555555,5.762559334695744,5.131578947368421,0.0004299302129161,0.0041835822617944,IMP2,4.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,0.3705729818447658,0.7401599550727909,0.7246247009487782,0.0028809021727205,0.0085529287122228,0.4215705065792824,0.3155787177192854,48.5285757395421,51.72740431925767,D5_M5,3.0,0.028985507246376812
9,9,P3_D5_G1_M5_R1_T1,P3,MI,DI,Z3,A3,2.26,4.939870406030353,4.805555555555555,3.607755425390722,5.131578947368421,0.1774305271393745,0.1338746323774212,IMP1,4.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,0.3705729818447658,0.7264628951909435,0.7246247009487782,0.0076014529440786,0.0085529287122228,0.2256804953740111,0.3155787177192854,53.70164256366805,51.72740431925767,D5_M5,3.0,0.028985507246376812
10,10,P3_D5_G1_M5_R1_T1,P3,MI,DI,Z3,A2,2.27,3.825072854566274,4.805555555555555,3.3482184040237573,5.131578947368421,0.0965893242634711,0.0829743815255892,IMP1,4.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,0.3705729818447658,0.7248130362582281,0.7246247009487782,0.0068009820617821,0.0085529287122228,0.1904537475965293,0.3155787177192854,51.9341486985689,51.72740431925767,D5_M5,3.0,0.028985507246376812
11,11,P3_D5_G1_M5_R1_T1,P3,MI,DI,Z3,A2,2.28,3.949403686043067,4.805555555555555,2.4223291434134966,5.131578947368421,0.2439320387513678,0.192444784042543,IMP1,4.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,0.3705729818447658,0.7474240834574309,0.7246247009487782,0.0102252668934594,0.0085529287122228,0.2988635275637356,0.3155787177192854,52.41220417239084,51.72740431925767,D5_M5,3.0,0.028985507246376812
12,12,P3_D5_G1_M5_R1_T1,P3,MI,DI,Z3,A2,2.29,2.307560826103032,4.805555555555555,2.987688739343834,5.131578947368421,0.1378851815394957,0.1234156767229352,IMP0,4.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,0.3705729818447658,0.7445930305143998,0.7246247009487782,0.0075064613100223,0.0085529287122228,0.2774857979042883,0.3155787177192854,51.55580209062544,51.72740431925767,D5_M5,3.0,0.028985507246376812
13,13,P3_D5_G1_M5_R1_T1,P3,MI,DI,Z2,A2,2.3,2.4474322244928786,4.805555555555555,4.3052500649842775,5.131578947368421,0.3530921049869274,0.3109796147933847,IMP0,4.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,0.3705729818447658,0.7710858326380043,0.7246247009487782,0.0141259431977658,0.0085529287122228,0.1925079735563744,0.3155787177192854,54.30439067657485,51.72740431925767,D5_M5,3.0,0.028985507246376812
14,14,P3_D5_G1_M5_R1_T1,P3,MI,DI,Z2,A1,2.31,2.7707651106950024,4.805555555555555,4.672199608749335,5.131578947368421,0.5494251743814372,0.3671093434724598,IMP0,3.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,0.3705729818447658,0.7954028010023654,0.7246247009487782,0.0161149812280678,0.0085529287122228,0.2293028373920506,0.3155787177192854,54.30465652021061,51.72740431925767,D5_M5,3.0,0.021739130434782608
15,15,P3_D5_G1_M5_R1_T1,P3,MI,DI,Z3,A1,2.32,4.914616256476347,4.805555555555555,6.080674424579712,5.131578947368421,0.7362045707143033,0.6944746554578728,IMP1,6.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,0.3705729818447658,0.8057250048993853,0.7246247009487782,0.0234796189050784,0.0085529287122228,0.2853965960910649,0.3155787177192854,54.29136717529154,51.72740431925767,D5_M5,3.0,0.043478260869565216
16,16,P3_D5_G1_M5_R1_T1,P3,MI,DI,Z3,A1,2.33,6.330207244256108,4.805555555555555,6.673556937674528,5.131578947368421,0.9401694403019208,0.4915709157608437,IMP2,2.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,0.3705729818447658,0.7808025836912245,0.7246247009487782,0.0251317179594269,0.0085529287122228,1.037400345002471,0.3155787177192854,55.56485193661037,51.72740431925767,D5_M5,3.0,0.014492753623188406
17,17,P3_D1_G1_M1_R1_T1,P3,MI,DI,Z2,A2,2.34,5.0,4.325,2.057793357015649,4.040816326530612,0.003174102324663,0.0067983211754159,IMP2,4.0,7,6,7,5,7,6,6,7,7,3,3,7,5,7,,,7.0,5.0,6.0,D1,M1,R1,0.4047180553310276,0.4299707238710351,0.673792263582833,0.7552472589148073,0.0029509853077686,0.0127237898652493,0.1751191499402237,0.2864732539068569,50.05351682232989,52.96057679527599,D1_M1,4.0,0.022727272727272728
18,18,P3_D1_G1_M1_R1_T1,P3,MI,DI,Z2,A2,2.35,5.811428791453458,4.325,4.034339987114386,4.040816326530612,0.0014063531037902,0.005229477827243,IMP2,4.0,7,6,7,5,7,6,6,7,7,3,3,7,5,7,,,7.0,5.0,6.0,D1,M1,R1,0.4047180553310276,0.4299707238710351,0.6800819217846109,0.7552472589148073,0.0037247966093888,0.0127237898652493,0.3216608073875177,0.2864732539068569,49.95740077789752,52.96057679527599,D1_M1,4.0,0.022727272727272728
19,19,P3_D1_G1_M1_R1_T1,P3,MI,DI,Z2,A3,2.36,4.41101206651158,4.325,4.390683604753282,4.040816326530612,0.1321776684510087,0.0915158619767527,IMP1,4.0,7,6,7,5,7,6,6,7,7,3,3,7,5,7,,,7.0,5.0,6.0,D1,M1,R1,0.4047180553310276,0.4299707238710351,0.7303630093456057,0.7552472589148073,0.0070718040687499,0.0127237898652493,0.2752543691984618,0.2864732539068569,52.63016143927258,52.96057679527599,D1_M1,4.0,0.022727272727272728
20,20,P3_D1_G1_M1_R1_T1,P3,MI,DI,Z3,A3,2.37,4.964017954151569,4.325,4.297359433345633,4.040816326530612,0.2639582018203444,0.2264363899196226,IMP1,4.0,7,6,7,5,7,6,6,7,7,3,3,7,5,7,,,7.0,5.0,6.0,D1,M1,R1,0.4047180553310276,0.4299707238710351,0.7663264475428136,0.7552472589148073,0.0137751113978676,0.0127237898652493,0.217479656920106,0.2864732539068569,54.630193029301886,52.96057679527599,D1_M1,4.0,0.022727272727272728
21,21,P3_D1_G1_M1_R1_T1,P3,MI,DI,Z3,A1,2.38,3.845009675275276,4.325,4.515073602594567,4.040816326530612,0.232275259120772,0.1778022461262625,IMP1,4.0,7,6,7,5,7,6,6,7,7,3,3,7,5,7,,,7.0,5.0,6.0,D1,M1,R1,0.4047180553310276,0.4299707238710351,0.7627436013365074,0.7552472589148073,0.0135738514560026,0.0127237898652493,0.4452787644927428,0.2864732539068569,53.11766125796871,52.96057679527599,D1_M1,4.0,0.022727272727272728
22,22,P3_D1_G1_M1_R1_T1,P3,MC,DI,Z2,A2,2.13,2.597374858474732,4.325,3.397512459776849,4.040816326530612,0.1886317520296645,0.1364893712910427,IMP0,4.0,7,6,7,5,7,6,6,7,7,3,3,7,5,7,,,7.0,5.0,6.0,D1,M1,R1,0.4047180553310276,0.4299707238710351,0.7650102797562192,0.7552472589148073,0.010141962357799,0.0127237898652493,0.291371926706389,0.2864732539068569,53.54941433283425,52.96057679527599,D1_M1,4.0,0.022727272727272728
23,23,P3_D1_G1_M1_R1_T1,P3,MI,DC,Z3,A1,2.5,3.76980434878189,4.325,3.9640287710488025,4.040816326530612,0.4503995146000782,0.386458411433259,IMP1,4.0,7,6,7,5,7,6,6,7,7,3,3,7,5,7,,,7.0,5.0,6.0,D1,M1,R1,0.4047180553310276,0.4299707238710351,0.7843238571370758,0.7552472589148073,0.0186372011203586,0.0127237898652493,0.1874836880973701,0.2864732539068569,54.05484208893019,52.96057679527599,D1_M1,4.0,0.022727272727272728
