,Name,Participant,Q1a,Q1b,Q2a,Q2b,Q2c,Q2d,Q2e,Q2f,Q2g,Q2h,Q2i,Q2j,Q3a,Q3b,Q4a,Q4b,Abs_Av,Perf_Av,SFS,Dance_mode,Music_mode,Palo,LZ,CTW,LZ_avg,var_entropy_avg,Condition,Condition_order
0,P3_D0_G1_M6_R1_T1,G1,2,7,2,7,7,7,7,7,7,7,7,1,7,7,,,4.25,7.0,5.625,D0,M6,R1,0.4659464414686864,0.4985895962121073,0.19218864635304542,52.14732456260738,D0_M6,
1,P3_D6_G1_M6_R1_T1,G1,2,7,4,6,7,6,6,7,7,7,6,1,7,7,,,4.75,6.333333333333333,5.541666666666666,D6,M6,R1,0.4364616316090856,0.4626439270153559,0.18063231647982944,54.419322675691056,D6_M6,0.0
2,P3_D5_G1_M6_R1_T1,G1,2,7,4,6,7,6,5,5,7,7,7,5,6,6,,,5.25,6.333333333333333,5.791666666666666,D5,M6,R1,0.4413175391014486,0.480467288236185,0.18503984343916688,54.57535217272016,D5_M6,1.0
3,P3_D1_G1_M6_R1_T1,G1,3,7,4,7,7,7,7,7,7,7,7,1,7,7,,,4.75,7.0,5.875,D1,M6,R1,0.3701248608976148,0.4001463249842719,0.16882497585616205,53.158857367400174,D1_M6,2.0
4,P3_D5_G1_M5_R1_T1,G1,7,6,7,6,7,7,7,7,5,1,2,1,7,7,,,5.5,4.666666666666667,5.083333333333334,D5,M5,R1,0.3455060303396354,0.3705729818447658,0.1683891860372252,51.67695284400238,D5_M5,3.0
5,P3_D1_G1_M1_R1_T1,G1,7,6,6,6,7,6,7,7,6,2,2,1,7,7,,,5.25,4.833333333333333,5.041666666666666,D1,M1,R1,0.4047180553310276,0.4299707238710351,0.19618976493818152,52.89688668035281,D1_M1,4.0
6,P3_D6_G1_M6_R2_T1,G1,2,6,2,6,6,6,6,6,6,7,6,6,6,6,,,5.0,6.166666666666667,5.583333333333334,D6,M6,R2,0.4315493045363988,0.4638849897419168,0.18380477719753285,51.742285726975275,D6_M6,0.0
7,P3_D5_G1_M6_R2_T1,G1,2,4,2,5,5,5,5,5,5,7,6,4,5,5,,,4.0,5.5,4.75,D5,M6,R2,0.4143445045747043,0.4482324189409156,0.17452813826920605,51.786781870907184,D5_M6,1.0
8,P3_D1_G1_M6_R2_T1,G1,2,6,2,6,6,7,6,6,7,7,7,1,7,7,,,3.75,6.666666666666667,5.208333333333334,D1,M6,R2,0.406331957729773,0.4383863975616394,0.1644948940382144,51.85940122624855,D1_M6,2.0
9,P3_D5_G1_M5_R2_T1,G1,7,7,7,7,7,7,7,7,7,1,6,1,7,7,,,5.5,5.833333333333333,5.666666666666666,D5,M5,R2,0.3357792882275158,0.3720820094876146,0.1599107560279503,51.81611765131447,D5_M5,3.0
10,P3_D1_G1_M1_R2_T1,G1,7,7,7,6,7,7,7,7,6,1,1,1,7,7,,,5.5,4.666666666666667,5.083333333333334,D1,M1,R2,0.273862369732902,0.3204102118291523,0.14807467601601187,51.32774382810507,D1_M1,4.0
11,P3_D0_G1_M6_R2_T1,G1,1,1,1,5,6,4,4,5,5,7,5,4,5,5,,,4.0,5.0,4.5,D0,M6,R2,0.4613492382017286,0.4952834876738667,0.20626879499455938,49.91709056038877,D0_M6,
12,P4_D0_G2_M6_R1_T1,G2,2,4,4,6,6,7,7,4,6,7,7,6,6,6,,,5.0,6.666666666666667,5.833333333333334,D0,M6,R1,,,0.2094347764501637,50.05604404486044,D0_M6,
13,P4_D6_G2_M6_R1_T1,G2,2,4,4,6,6,7,7,6,7,7,7,5,6,7,,,5.25,6.833333333333333,6.041666666666666,D6,M6,R1,0.4372317986044737,0.4730857535807846,0.19974331614056484,51.621734408390864,D6_M6,0.0
14,P4_D5_G2_M6_R1_T1,G2,2,4,5,6,6,7,7,6,6,7,7,6,6,7,,,5.75,6.666666666666667,6.208333333333334,D5,M6,R1,0.4153120008500419,0.4468730660639215,0.1903529929116458,51.823094499279,D5_M6,1.0
15,P4_D1_G2_M6_R1_T1,G2,2,4,4,6,7,6,7,7,7,7,6,5,6,7,,,5.75,6.5,6.125,D1,M6,R1,0.4418005973899906,0.4675723330252747,0.19971851229316284,51.76264319068027,D1_M6,2.0
16,P4_D5_G2_M5_R1_T1,G2,6,6,7,6,7,7,7,7,6,6,5,6,7,7,,,6.75,6.166666666666667,6.458333333333334,D5,M5,R1,0.3810441232301887,0.4013448957660061,0.17890689986954536,51.19038057645114,D5_M5,3.0
17,P4_D1_G2_M1_R1_T1,G2,7,6,6,6,7,7,7,7,6,5,5,6,6,7,,,6.5,6.0,6.25,D1,M1,R1,0.32014982844113,0.3418450242223667,0.14744512733911688,49.98440364797062,D1_M1,4.0
18,P4_D6_G2_M6_R2_T1,G2,2,4,4,6,7,7,7,7,6,7,6,6,4,3,,,6.0,6.5,6.25,D6,M6,R2,0.4370801854579944,0.4645654255940994,0.1923937647466675,51.690392114574045,D6_M6,0.0
19,P4_D5_G2_M6_R2_T1,G2,2,2,4,7,7,7,7,7,7,7,6,6,5,5,,,6.0,6.833333333333333,6.416666666666666,D5,M6,R2,0.4262810651410869,0.4539881399210038,0.1937712857353071,51.75205643763715,D5_M6,1.0
